5.547937184000000244e+00 2.984717040624723650e-01 2.666405063416398338e-02
7.313605577899999766e+00 2.984012951267051017e-01 2.431264917024524019e-02
9.641209836199999827e+00 3.004114480271381504e-01 2.182167971661241532e-02
1.270958983400000086e+01 3.044497406863423961e-01 2.007238807291137489e-02
1.675450244399999988e+01 3.006024992216571601e-01 1.820694486269320428e-02
2.208673574699999875e+01 2.980538567935921979e-01 1.753980860099377606e-02
2.911598823199999941e+01 2.970769386034384230e-01 1.694326576988363503e-02
3.838234768600000280e+01 3.000245464696589259e-01 1.718271024653825890e-02
5.059778847900000187e+01 3.029134407077724855e-01 1.781634472734044961e-02
6.670087561799999776e+01 3.053628668753905484e-01 1.891618619732120254e-02
8.792887875099999917e+01 2.975810917534753575e-01 2.481817530141713912e-02
