2.436606924934356768e-04 2.295631629764158753e-04 2.288096579826844079e-04 2.388165582202688222e-04 2.349522728356444540e-04 2.406594064070904362e-04 2.384089940515312863e-04 2.409337880851296311e-04 2.320318354293412133e-04 2.048704344176801955e-04 1.860740183001065957e-04
2.295631629764158753e-04 2.345075662289058136e-04 2.287474434332558370e-04 2.372742083433134050e-04 2.348071303651279166e-04 2.408814054953363915e-04 2.393169249709681701e-04 2.414557705504950043e-04 2.331890419887769502e-04 2.088309734639149913e-04 1.865478252287222584e-04
2.288096579826844079e-04 2.287474434332558370e-04 2.324397906402971036e-04 2.379563319952894378e-04 2.351355611892507814e-04 2.413665806926221539e-04 2.392865176191469388e-04 2.425498757045595373e-04 2.344544162353095541e-04 2.091081535853716385e-04 1.847614811741747794e-04
2.388165582202688222e-04 2.372742083433134050e-04 2.379563319952894378e-04 2.498347842665110479e-04 2.450593672195313126e-04 2.517153986176633574e-04 2.497372597216328022e-04 2.529096996410710985e-04 2.442825710012356231e-04 2.162645580595707511e-04 1.864862075933634280e-04
2.349522728356444540e-04 2.348071303651279166e-04 2.351355611892507814e-04 2.450593672195313126e-04 2.460114065340241363e-04 2.509076301675350991e-04 2.484715972141822416e-04 2.513700940069699065e-04 2.423976402612218245e-04 2.152328116085077921e-04 1.839926363099695956e-04
2.406594064070904362e-04 2.408814054953363915e-04 2.413665806926221539e-04 2.517153986176633574e-04 2.509076301675350991e-04 2.616177467145000329e-04 2.591434317991115309e-04 2.632231884809580922e-04 2.543381190943703823e-04 2.242306766314939573e-04 1.881848489661051924e-04
2.384089940515312863e-04 2.393169249709681701e-04 2.392865176191469388e-04 2.497372597216328022e-04 2.484715972141822416e-04 2.591434317991115309e-04 2.628788231089680010e-04 2.681680274783650674e-04 2.619910613668229656e-04 2.333393786753180140e-04 1.966118769759769912e-04
2.409337880851296311e-04 2.414557705504950043e-04 2.425498757045595373e-04 2.529096996410710985e-04 2.513700940069699065e-04 2.632231884809580922e-04 2.681680274783650674e-04 2.818288316169943156e-04 2.820823083434182495e-04 2.568845717769607144e-04 2.154091781958915113e-04
2.320318354293412133e-04 2.331890419887769502e-04 2.344544162353095541e-04 2.442825710012356231e-04 2.423976402612218245e-04 2.543381190943703823e-04 2.619910613668229656e-04 2.820823083434182495e-04 3.097352886299332693e-04 3.031863004701567787e-04 2.737192589943286008e-04
2.048704344176801955e-04 2.088309734639149913e-04 2.091081535853716385e-04 2.162645580595707511e-04 2.152328116085077921e-04 2.242306766314939573e-04 2.333393786753180140e-04 2.568845717769607144e-04 3.031863004701567787e-04 3.522201533183973512e-04 3.828234470679946753e-04
1.860740183001065957e-04 1.865478252287222584e-04 1.847614811741747794e-04 1.864862075933634280e-04 1.839926363099695956e-04 1.881848489661051924e-04 1.966118769759769912e-04 2.154091781958915113e-04 2.737192589943286008e-04 3.828234470679946753e-04 6.113128166606762899e-04
