5.547937184000000244e+00 3.200284423733066874e-01 2.054511759853976105e-02
7.313605577899999766e+00 3.247976716951305187e-01 1.772404608847150467e-02
9.641209836199999827e+00 3.276749736331222573e-01 1.465397744621562727e-02
1.270958983400000086e+01 3.267470862492337091e-01 1.170178128065715861e-02
1.675450244399999988e+01 3.225582212933686965e-01 9.269094019290781070e-03
2.208673574699999875e+01 3.172484991329571069e-01 7.792871635894555588e-03
2.911598823199999941e+01 3.178743681859674819e-01 7.511986643863334187e-03
3.838234768600000280e+01 3.236217890344234016e-01 8.463709289947288217e-03
5.059778847900000187e+01 3.174210936985871201e-01 1.041096373800116590e-02
6.670087561799999776e+01 3.091124759974180902e-01 1.360313151203040513e-02
8.792887875099999917e+01 3.112871334653802280e-01 2.001898855473180361e-02
