3.934857919439855439e-02 2.601602064060011370e-03 9.225833923870570231e-04 3.874349256359098034e-04 1.801306573084639499e-04 9.519221340496934758e-05 5.569650272113188419e-05 3.510676609683879780e-05 2.297889093395660720e-05 1.529779460447586883e-05 1.011758805294378929e-05 6.472752679233704084e-06 3.901951629574012897e-06 2.154796419800297830e-06 1.061898275895562365e-06 2.618528414873838840e-07
2.601602064060010936e-03 2.436062562740819518e-02 2.070332123347529921e-03 7.462025114914585177e-04 3.280940033567868197e-04 1.696175449338288002e-04 9.852492468461875865e-05 6.199410869501912073e-05 4.057538246299476357e-05 2.702199849678813478e-05 1.787753105046123667e-05 1.144026621309684691e-05 6.897720935230579591e-06 3.809588310165992695e-06 1.877493359395247140e-06 4.632493088305947907e-07
9.225833923870570231e-04 2.070332123347530355e-03 1.599663063035234450e-02 1.581214920017662588e-03 6.029284433073244139e-04 2.971289510769818372e-04 1.700365603868658271e-04 1.066352539231410837e-04 6.978508737240061174e-05 4.650127573896113811e-05 3.078187473611478212e-05 1.970681312511756903e-05 1.188538057927999999e-05 6.565463134075412576e-06 3.235975855052545049e-06 7.992347628023406367e-07
3.874349256359099119e-04 7.462025114914587346e-04 1.581214920017662588e-03 9.341803532714430813e-03 1.282484762047348369e-03 5.426117390679495531e-04 2.989616279663833602e-04 1.860242000232982919e-04 1.216834239517734881e-04 8.116577866643285926e-05 5.378239772300805925e-05 3.445962407976731884e-05 2.079399605519939248e-05 1.149039216394382910e-05 5.664303088303775982e-06 1.401494277549499008e-06
1.801306573084637331e-04 3.280940033567868197e-04 6.029284433073243054e-04 1.282484762047348369e-03 6.281321041913638659e-03 1.104157541256399000e-03 5.307169728171074472e-04 3.231805274582087890e-04 2.110342739152756331e-04 1.409990539537387983e-04 9.359356445210611857e-05 6.005090036485593663e-05 3.626997320492588220e-05 2.005367979895995487e-05 9.888485625616504578e-06 2.454100501514635993e-06
9.519221340496955086e-05 1.696175449338288815e-04 2.971289510769816746e-04 5.426117390679495531e-04 1.104157541256399000e-03 4.191301227702676734e-03 1.017105449929906619e-03 5.608400776045048032e-04 3.633375227170268160e-04 2.433794921299192835e-04 1.620556957550561134e-04 1.042309562693912920e-04 6.305654934678228424e-05 3.489914990542096121e-05 1.721740044284078715e-05 4.295085966503636353e-06
5.569650272113189774e-05 9.852492468461878576e-05 1.700365603868658542e-04 2.989616279663834145e-04 5.307169728171074472e-04 1.017105449929906836e-03 3.077854178587461752e-03 1.014864827706065233e-03 6.196722643604571758e-04 4.160647101692137523e-04 2.785508622011756029e-04 1.799254815779971484e-04 1.091602802525842874e-04 6.052161133767501410e-05 2.988389039793264604e-05 7.518977714856685496e-06
3.510676609683874359e-05 6.199410869501912073e-05 1.066352539231410837e-04 1.860242000232982648e-04 3.231805274582087890e-04 5.608400776045048032e-04 1.014864827706065016e-03 2.424109937838845458e-03 1.068145796509839800e-03 7.011731391477845797e-04 4.737593867260916631e-04 3.083646283320556469e-04 1.880361819416283622e-04 1.045744839902912365e-04 5.171179369622937920e-05 1.319417038630023905e-05
2.297889093395656654e-05 4.057538246299475680e-05 6.978508737240061174e-05 1.216834239517734746e-04 2.110342739152756060e-04 3.633375227170268160e-04 6.196722643604573926e-04 1.068145796509839800e-03 2.088413288846435820e-03 1.179176030391802885e-03 7.995040475856719829e-04 5.278804684100360132e-04 3.249484205033838832e-04 1.817386679816803861e-04 9.009152222510337284e-05 2.352084035782125852e-05
1.529779460447585189e-05 2.702199849678813139e-05 4.650127573896113811e-05 8.116577866643285926e-05 1.409990539537387983e-04 2.433794921299192835e-04 4.160647101692137523e-04 7.011731391477845797e-04 1.179176030391802668e-03 1.996482058283906291e-03 1.319468617594867031e-03 8.903985879960549851e-04 5.581186153414944727e-04 3.154558952958803138e-04 1.569822058125316315e-04 4.254864318638959205e-05
